PKG: com.android.calendar
____PERM: GRNT	  18	           UNGROUPED	android.permission.START_TASKS_FROM_RECENTS
____PERM: GRNT	  18	           UNGROUPED	android.permission.STATUS_BAR
____PERM: GRNT	  18	           UNGROUPED	android.permission.STOP_APP_SWITCHES
____PERM: GRNT	  18	           UNGROUPED	android.permission.WRITE_DREAM_STATE
____PERM: GRNT	  18	           UNGROUPED	android.permission.WRITE_MEDIA_STORAGE
____PERM: GRNT	   2	           UNGROUPED	android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
____PERM: GRNT	   2	           UNGROUPED	android.permission.ACCESS_VOICE_INTERACTION_SERVICE
____PERM: GRNT	   2	           UNGROUPED	android.permission.BIND_DEVICE_ADMIN
____PERM: GRNT	   2	           UNGROUPED	android.permission.CONFIGURE_WIFI_DISPLAY
____PERM: GRNT	   2	           UNGROUPED	android.permission.CONTROL_KEYGUARD
____PERM: GRNT	   2	           UNGROUPED	android.permission.DEVICE_POWER
____PERM: GRNT	   2	           UNGROUPED	android.permission.GET_DETAILED_TASKS
____PERM: GRNT	   2	           UNGROUPED	android.permission.GET_TOP_ACTIVITY_INFO
____PERM: GRNT	   2	           UNGROUPED	android.permission.INJECT_EVENTS
____PERM: GRNT	   2	           UNGROUPED	android.permission.INTERNAL_SYSTEM_WINDOW
____PERM: GRNT	   2	           UNGROUPED	android.permission.MANAGE_APP_TOKENS
____PERM: GRNT	   2	           UNGROUPED	android.permission.MANAGE_MEDIA_PROJECTION
____PERM: GRNT	   2	           UNGROUPED	android.permission.MANAGE_NETWORK_POLICY
____PERM: GRNT	   2	           UNGROUPED	android.permission.PEERS_MAC_ADDRESS
____PERM: GRNT	   2	           UNGROUPED	android.permission.REMOTE_AUDIO_PLAYBACK
____PERM: GRNT	   2	           UNGROUPED	android.permission.REMOVE_TASKS
____PERM: GRNT	   2	           UNGROUPED	android.permission.SET_ORIENTATION
____PERM: GRNT	   2	           UNGROUPED	android.permission.SET_SCREEN_COMPATIBILITY
____PERM: GRNT	   2	           UNGROUPED	android.permission.START_ANY_ACTIVITY
____PERM: GRNT	   2	           UNGROUPED	android.permission.STATUS_BAR_SERVICE
____PERM: GRNT	   2	           UNGROUPED	android.permission.TRUST_LISTENER
____PERM: GRNT	   2	           UNGROUPED	com.android.systemui.permission.SELF
____PERM: GRNT	 258	           UNGROUPED	android.permission.INTERACT_ACROSS_USERS_FULL
____PERM: GRNT	  50	           UNGROUPED	android.permission.DUMP
____PERM: GRNT	  50	           UNGROUPED	android.permission.GET_APP_OPS_STATS
____PERM: GRNT	  50	           UNGROUPED	android.permission.INTERACT_ACROSS_USERS
____PERM: GRNT	  50	           UNGROUPED	android.permission.WRITE_SECURE_SETTINGS
____PERM: GRNT	DNGR	              CAMERA	android.permission.CAMERA
____PERM: GRNT	DNGR	            CONTACTS	android.permission.GET_ACCOUNTS
____PERM: GRNT	DNGR	            CONTACTS	android.permission.READ_CONTACTS
____PERM: GRNT	DNGR	            LOCATION	android.permission.ACCESS_COARSE_LOCATION
____PERM: GRNT	DNGR	             STORAGE	android.permission.READ_EXTERNAL_STORAGE
____PERM: GRNT	DNGR	             STORAGE	android.permission.WRITE_EXTERNAL_STORAGE
____PERM: GRNT	NRML	             SENSORS	android.permission.USE_FINGERPRINT
____PERM: GRNT	NRML	           UNGROUPED	android.permission.ACCESS_NETWORK_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.ACCESS_WIFI_STATE
____PERM: GRNT	NRML	           UNGROUPED	android.permission.BLUETOOTH
____PERM: GRNT	NRML	           UNGROUPED	android.permission.BLUETOOTH_ADMIN
____PERM: GRNT	NRML	           UNGROUPED	android.permission.CHANGE_WIFI_STATE
